#Lots,#Wafers,#Unit,WW,Lot,Part,Program,Oper,Wafer,Name,Counter,Cost,Catches,DPW,%Fails
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342931W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00y2_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342931,56821,290
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342912W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00yS_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342912,56821,298
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342911W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00A2_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342911,56821,294
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342896W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00yO_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342896,56821,283
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342893W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00AL_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342893,56821,273
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342879W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00CB_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342879,56821,297
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342862W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00zR_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342862,56821,301
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342810W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00Cn_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342810,56821,293
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342787W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00z8_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342787,56821,303
0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,g0342785W3812353A_JH_VRB023T_SHnm0k00000t_a161616xx0800044x21xxad_RB1PTiTC001I03z_LIx0DA42x0nxx00Cc_SBOIDP_edt_tr_sNs_phase1|scn_ccf_x_vccia_x_x_sNs_edt_sbo_ca2tf_80sOps_list|SCN_CCF|CA2TF_SBO_SCOREBOARD_K_END_X_X_X_X_MCI_PARALLEL_HRY_KILL,30210342785,56821,296
